timestamp,frame,marker_id,estimated_distance_mm,hypot_solvepnp_mm,odom_hyp,pixel_size_avg
1756931352.9203918,1,1,199.66032,199.59980103847678,200.0,85.757286
1756931353.2977915,2,1,200.9879,200.72368747131708,200.0,85.254395
1756931353.6182773,3,1,197.69806,193.50004338138064,200.0,86.511566
1756931353.7702782,4,1,199.66039,199.6218314439523,200.0,85.75726
1756931353.9069812,5,1,199.66039,199.6218314439523,200.0,85.75726
1756931354.0511844,6,1,198.97981,196.05754563108158,200.0,86.01738
1756931354.187922,7,1,198.98721,198.09511731972347,200.0,86.01454
1756931354.3235977,8,1,198.98721,198.09511731972347,200.0,86.01454
1756931354.4456582,9,1,198.97981,196.05754563108158,190.23517240920296,86.01738
1756931354.5773966,10,1,198.98773,194.08212196743892,179.03764473044973,86.01434
1756931354.7286,11,1,194.51735,195.0055913818985,179.03764473044973,87.7628
1756931354.8413386,12,1,194.51735,195.0055913818985,179.03764473044973,87.7628
1756931354.980219,13,1,183.24255,184.9023951160683,179.03764473044973,92.5054
1756931355.1127775,14,1,183.79875,185.32034034389642,179.03764473044973,92.25945
1756931355.235083,15,1,183.79875,185.32034034389642,179.03764473044973,92.25945
1756931355.3697593,16,1,183.24867,185.00094774950068,179.03764473044973,92.502686
1756931355.5178216,17,1,182.68329,184.57250094020472,179.03764473044973,92.75403
1756931355.6450117,18,1,182.68329,184.57250094020472,179.03764473044973,92.75403
1756931355.775999,19,1,183.81099,185.56530715145422,167.96939533502888,92.25406
1756931355.9029024,20,1,183.24867,184.94205016399673,167.96939533502888,92.502686
1756931356.0607746,21,1,170.51962,172.6034156500958,167.96939533502888,98.51266
1756931356.1783602,22,1,170.51962,172.6034156500958,167.96939533502888,98.51266
1756931356.310956,23,1,164.73947,168.25163976604648,167.96939533502888,101.5074
1756931356.4411206,24,1,164.73947,168.25163976604648,167.96939533502888,101.5074
1756931356.570334,25,1,164.73947,168.25163976604648,162.34862101414726,101.5074
1756931356.699617,26,1,165.20192,168.48105969853435,151.74742509509383,101.261116
1756931356.834625,27,1,165.20192,168.48105969853435,139.93440462795883,101.261116
1756931356.9562817,28,1,163.80757,167.49080752668613,139.93440462795883,102.007355
1756931357.0841436,29,1,148.85548,154.09249329532898,139.93440462795883,110.76015
1756931357.2208307,30,1,148.85548,154.09249329532898,139.93440462795883,110.76015
1756931357.345131,31,1,142.41513,148.24725870935856,139.93440462795883,115.010864
1756931357.5125961,32,1,141.70131,147.78574171685764,125.28150826308908,115.50217
1756931357.6377923,33,1,141.70131,147.78574171685764,113.70101458313827,115.50217
1756931357.7657256,34,1,141.70131,147.78574171685764,111.7180704313676,115.50217
1756931357.9006612,35,1,133.44968,140.35565246245068,111.7180704313676,121.50206
1756931358.0307913,36,1,122.211006,130.24507992418407,111.7180704313676,130.75287
1756931358.1545823,37,1,122.211006,130.24507992418407,111.7180704313676,130.75287
1756931358.2813,38,1,121.926155,129.96368588786498,111.7180704313676,131.00568
1756931358.4152324,39,1,121.9304,129.99555825080338,105.08864779923861,131.0019
1756931358.5554812,40,1,121.9304,129.99555825080338,105.08864779923861,131.0019
1756931358.690936,41,1,122.494835,130.41804113947364,105.08864779923861,130.50194
1756931358.825068,42,1,109.09051,118.32882894350473,105.08864779923861,143.50873
1756931358.948861,43,1,108.86071,118.21100915664711,105.08864779923861,143.75436
1756931359.081749,44,1,108.86071,118.21100915664711,105.08864779923861,143.75436
1756931359.2052343,45,1,109.09051,118.32882894350473,105.0269052891767,143.50873
1756931359.3510602,46,1,109.09051,118.32882894350473,92.12138249912597,143.50873
1756931359.4801748,47,1,109.09051,118.32882894350473,92.12138249912597,143.50873
1756931359.608876,48,1,104.55384,114.18592153531586,92.12138249912597,148.5186
1756931359.7395222,49,1,96.36157,106.80476043185551,92.12138249912597,158.51111
1756931359.8792934,50,1,96.17654,106.83279349594781,92.12138249912597,158.75237
1756931360.009465,51,1,96.17654,106.83279349594781,92.12138249912597,158.75237
1756931360.1445532,52,1,96.17654,106.83279349594781,90.0950670813197,158.75237
1756931360.2753034,53,1,96.1729,106.81668629233744,86.7609377895776,158.75711
1756931360.4035013,54,1,96.366455,107.01548310495468,86.7609377895776,158.50476
1756931360.558964,55,1,83.322495,94.88270349262554,86.7609377895776,177.52133
1756931360.6814332,56,1,83.322495,94.88270349262554,86.7609377895776,177.52133
1756931360.809646,57,1,83.32512,94.99508135185694,86.7609377895776,177.51704
1756931360.9393194,58,1,83.32512,94.99508135185694,86.7609377895776,177.51704
1756931361.0758054,59,1,82.87332,94.7008347286756,75.15962630250385,178.25778
1756931361.2056067,60,1,83.17183,94.9478497848138,75.15962630250385,177.76768
1756931361.3357637,61,1,79.33608,91.25710394768524,75.15962630250385,184.27806
1756931361.4745402,62,1,79.33608,91.25710394768524,75.15962630250385,184.27806
1756931361.5982282,63,1,71.33669,84.16084251758745,75.15962630250385,199.51645
1756931361.7615175,64,1,71.33423,83.98404213899272,75.15962630250385,199.52155
1756931361.9315124,65,1,71.57413,84.20791742596644,60.541761290121116,199.02795
1756931362.063973,66,1,71.57413,84.20791742596644,47.89187651428923,199.02795
1756931362.1947684,67,1,65.71456,78.16265935620866,47.89187651428923,211.82742
1756931362.3265347,68,1,47.793205,61.46577219139534,47.89187651428923,263.69336
1756931362.443662,69,1,47.793205,61.46577219139534,47.89187651428923,263.69336
1756931362.577587,70,1,47.793205,61.46577219139534,47.89187651428923,263.69336
