timestamp,frame,marker_id,estimated_distance_mm,hypot_solvepnp_mm,odom_hyp,pixel_size_avg
1756933702.0509253,1,1,195.17067,195.4731393028268,200.0,87.50285
1756933702.2616434,2,1,196.40892,196.1993316455618,200.0,87.014366
1756933702.3411894,3,1,196.40892,196.1993316455618,200.0,87.014366
1756933702.4310143,4,1,196.40892,196.1993316455618,200.0,87.014366
1756933702.515909,5,1,196.41624,195.42592300829176,200.0,87.0115
1756933702.6064067,6,1,196.41624,195.42592300829176,200.0,87.0115
1756933702.6981494,7,1,196.41624,195.42592300829176,200.0,87.0115
1756933702.781697,8,1,196.43091,196.70209764232607,200.0,87.005745
1756933702.8636417,9,1,196.43091,196.70209764232607,200.0,87.005745
1756933702.9411035,10,1,196.43091,196.70209764232607,200.0,87.005745
1756933703.0350869,11,1,195.79903,196.26701919973138,200.0,87.25429
1756933703.125096,12,1,195.79903,196.26701919973138,200.0,87.25429
1756933703.206612,13,1,195.79903,196.26701919973138,200.0,87.25429
1756933703.2905855,14,1,195.05519,191.63169187793073,200.0,87.54869
1756933703.3703616,15,1,195.05519,191.63169187793073,200.0,87.54869
1756933703.5002797,16,1,196.43091,196.70209764232607,200.0,87.005745
1756933703.5748134,17,1,196.43091,196.70209764232607,200.0,87.005745
1756933703.6639683,18,1,196.43091,196.70209764232607,200.0,87.005745
1756933703.7430592,19,1,196.43823,195.89575786943445,200.0,87.00287
1756933703.8394682,20,1,196.43823,195.89575786943445,200.0,87.00287
1756933703.9415607,21,1,195.79903,196.26701919973138,191.57742671367714,87.25429
1756933704.0235255,22,1,195.79903,196.26701919973138,184.56948129738333,87.25429
1756933704.1464384,23,1,195.79173,195.773306112065,174.92116888888765,87.257164
1756933704.2273355,24,1,195.79173,195.773306112065,174.92116888888765,87.257164
1756933704.3023121,25,1,195.79173,195.773306112065,174.92116888888765,87.257164
1756933704.380517,26,1,195.79173,195.773306112065,174.92116888888765,87.257164
1756933704.4628334,27,1,183.81093,184.98531163372894,174.92116888888765,92.25409
1756933704.5364487,28,1,183.81093,184.98531163372894,174.92116888888765,92.25409
