frame,R_00,R_01,R_02,R_10,R_11,R_12,R_20,R_21,R_22
75,0.35751826802605136,-0.006860372619955092,0.9338809470779282,0.017270466018810944,-0.9997534509504493,-0.013955941966087229,0.9337464425801824,0.02111806336251193,-0.35731164040466323
76,0.35751826802605136,-0.006860372619955092,0.9338809470779282,0.017270466018810944,-0.9997534509504493,-0.013955941966087229,0.9337464425801824,0.02111806336251193,-0.35731164040466323
77,0.35751826802605136,-0.006860372619955092,0.9338809470779282,0.017270466018810944,-0.9997534509504493,-0.013955941966087229,0.9337464425801824,0.02111806336251193,-0.35731164040466323
78,0.35751826802605136,-0.006860372619955092,0.9338809470779282,0.017270466018810944,-0.9997534509504493,-0.013955941966087229,0.9337464425801824,0.02111806336251193,-0.35731164040466323
88,0.3514857281448014,0.01257608986595952,0.9361087676516024,0.029449485447826454,-0.9995634577676014,0.002371012976476714,0.9357299347126695,0.026734544308060933,-0.351702649155879
89,0.3514857281448014,0.01257608986595952,0.9361087676516024,0.029449485447826454,-0.9995634577676014,0.002371012976476714,0.9357299347126695,0.026734544308060933,-0.351702649155879
90,0.3514857281448014,0.01257608986595952,0.9361087676516024,0.029449485447826454,-0.9995634577676014,0.002371012976476714,0.9357299347126695,0.026734544308060933,-0.351702649155879
91,0.3514857281448014,0.01257608986595952,0.9361087676516024,0.029449485447826454,-0.9995634577676014,0.002371012976476714,0.9357299347126695,0.026734544308060933,-0.351702649155879
92,0.3514857281448014,0.01257608986595952,0.9361087676516024,0.029449485447826454,-0.9995634577676014,0.002371012976476714,0.9357299347126695,0.026734544308060933,-0.351702649155879
93,0.36084589559256847,0.01279873489079188,0.9325376303502143,0.029689951216691154,-0.9995566686654225,0.0022300052094458376,0.9321527484434878,0.026882308525848046,-0.3610659151146413
94,0.36084589559256847,0.01279873489079188,0.9325376303502143,0.029689951216691154,-0.9995566686654225,0.0022300052094458376,0.9321527484434878,0.026882308525848046,-0.3610659151146413
95,0.36084589559256847,0.01279873489079188,0.9325376303502143,0.029689951216691154,-0.9995566686654225,0.0022300052094458376,0.9321527484434878,0.026882308525848046,-0.3610659151146413
96,0.36084589559256847,0.01279873489079188,0.9325376303502143,0.029689951216691154,-0.9995566686654225,0.0022300052094458376,0.9321527484434878,0.026882308525848046,-0.3610659151146413
97,0.36084589559256847,0.01279873489079188,0.9325376303502143,0.029689951216691154,-0.9995566686654225,0.0022300052094458376,0.9321527484434878,0.026882308525848046,-0.3610659151146413
98,0.36084589559256847,0.01279873489079188,0.9325376303502143,0.029689951216691154,-0.9995566686654225,0.0022300052094458376,0.9321527484434878,0.026882308525848046,-0.3610659151146413
99,0.36443853552834005,0.012807444683375064,0.9311393682916866,0.028327598883714465,-0.9995951487883074,0.002661890374379203,0.9307964874039021,0.025406847100026435,-0.36465379630135997
100,0.36443853552834005,0.012807444683375064,0.9311393682916866,0.028327598883714465,-0.9995951487883074,0.002661890374379203,0.9307964874039021,0.025406847100026435,-0.36465379630135997
101,0.36443853552834005,0.012807444683375064,0.9311393682916866,0.028327598883714465,-0.9995951487883074,0.002661890374379203,0.9307964874039021,0.025406847100026435,-0.36465379630135997
102,0.36443853552834005,0.012807444683375064,0.9311393682916866,0.028327598883714465,-0.9995951487883074,0.002661890374379203,0.9307964874039021,0.025406847100026435,-0.36465379630135997
103,0.36443853552834005,0.012807444683375064,0.9311393682916866,0.028327598883714465,-0.9995951487883074,0.002661890374379203,0.9307964874039021,0.025406847100026435,-0.36465379630135997
104,0.36443853552834005,0.012807444683375064,0.9311393682916866,0.028327598883714465,-0.9995951487883074,0.002661890374379203,0.9307964874039021,0.025406847100026435,-0.36465379630135997
105,0.3688887745510408,0.01266307781470218,0.9293872812076193,0.030606729916694712,-0.9995304226236271,0.0014704875518472393,0.92896948286477,0.027903059152939315,-0.3691031281307023
106,0.3688887745510408,0.01266307781470218,0.9293872812076193,0.030606729916694712,-0.9995304226236271,0.0014704875518472393,0.92896948286477,0.027903059152939315,-0.3691031281307023
107,0.3688887745510408,0.01266307781470218,0.9293872812076193,0.030606729916694712,-0.9995304226236271,0.0014704875518472393,0.92896948286477,0.027903059152939315,-0.3691031281307023
108,0.3688887745510408,0.01266307781470218,0.9293872812076193,0.030606729916694712,-0.9995304226236271,0.0014704875518472393,0.92896948286477,0.027903059152939315,-0.3691031281307023
109,0.3688887745510408,0.01266307781470218,0.9293872812076193,0.030606729916694712,-0.9995304226236271,0.0014704875518472393,0.92896948286477,0.027903059152939315,-0.3691031281307023
110,0.3688887745510408,0.01266307781470218,0.9293872812076193,0.030606729916694712,-0.9995304226236271,0.0014704875518472393,0.92896948286477,0.027903059152939315,-0.3691031281307023
111,0.3688887745510408,0.01266307781470218,0.9293872812076193,0.030606729916694712,-0.9995304226236271,0.0014704875518472393,0.92896948286477,0.027903059152939315,-0.3691031281307023
112,0.3731792948049235,0.012111649139362808,0.9276801829747282,0.025918365042497386,-0.9996606157613406,0.002625195074961865,0.9273971383837801,0.023064285178230143,-0.3733665577777334
113,0.3731792948049235,0.012111649139362808,0.9276801829747282,0.025918365042497386,-0.9996606157613406,0.002625195074961865,0.9273971383837801,0.023064285178230143,-0.3733665577777334
114,0.3731792948049235,0.012111649139362808,0.9276801829747282,0.025918365042497386,-0.9996606157613406,0.002625195074961865,0.9273971383837801,0.023064285178230143,-0.3733665577777334
115,0.3731792948049235,0.012111649139362808,0.9276801829747282,0.025918365042497386,-0.9996606157613406,0.002625195074961865,0.9273971383837801,0.023064285178230143,-0.3733665577777334
